Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3500000;2021;Estado sem especificação;54;47;0;101;0
3500105;2021;Adamantina;192;164;0;356;33.869
3500204;2021;Adolfo;26;22;0;48;3.436
3500303;2021;Aguaí;185;189;0;374;35.885
3500402;2021;Águas da Prata;30;30;0;60;7.807
3500501;2021;Águas de Lindóia;113;85;0;198;18.438
3500550;2021;Águas de Santa Bárbara;29;41;0;70;5.957
3500600;2021;Águas de São Pedro;19;11;0;30;3.144
3500709;2021;Agudos;234;256;0;490;36.255
3500758;2021;Alambari;39;27;0;66;5.856
3500808;2021;Alfredo Marcondes;33;17;0;50;3.924
3500907;2021;Altair;21;13;0;34;4.052
3501004;2021;Altinópolis;88;88;0;176;15.547
3501103;2021;Alto Alegre;19;13;0;32;4.006
3501152;2021;Alumínio;112;109;0;221;18.069
3501202;2021;Álvares Florence;16;13;0;29;3.596
3501301;2021;Álvares Machado;164;142;0;306;23.828
3501400;2021;Álvaro de Carvalho;17;19;0;36;5.079
3501509;2021;Alvinlândia;18;17;0;35;3.190
3501608;2021;Americana;1.225;1.168;0;2.393;235.075
3501707;2021;Américo Brasiliense;205;214;0;419;40.676
3501806;2021;Américo de Campos;26;30;0;56;5.730
3501905;2021;Amparo;383;384;0;767;69.861
3502002;2021;Analândia;24;14;0;38;4.895
3502101;2021;Andradina;321;322;0;643;56.087
3502200;2021;Angatuba;172;165;0;337;24.697
3502309;2021;Anhembi;39;33;0;72;6.755
3502408;2021;Anhumas;15;24;0;39;3.983
3502507;2021;Aparecida;172;185;0;357;35.744
3502606;2021;Aparecida d'Oeste;25;12;0;37;4.105
3502705;2021;Apiaí;154;130;0;284;24.711
3502754;2021;Araçariguama;151;174;0;325;21.289
3502804;2021;Araçatuba;1.088;1.017;0;2.105;190.921
3502903;2021;Araçoiaba da Serra;222;159;0;381;32.846
3503000;2021;Aramina;33;20;0;53;5.515
3503109;2021;Arandu;47;41;0;88;6.168
3503158;2021;Arapeí;14;7;0;21;2.469
3503208;2021;Araraquara;1.317;1.244;0;2.561;228.792
3503307;2021;Araras;703;693;0;1.396;131.931
3503356;2021;Arco-Íris;10;12;0;22;1.806
3503406;2021;Arealva;41;42;0;83;8.223
3503505;2021;Areias;31;29;0;60;3.860
3503604;2021;Areiópolis;57;60;0;117;10.900
3503703;2021;Ariranha;42;46;0;88;9.378
3503802;2021;Artur Nogueira;337;306;0;643;53.224
3503901;2021;Arujá;679;647;0;1.326;90.958
3503950;2021;Aspásia;10;10;0;20;1.760
3504008;2021;Assis;513;505;0;1.018;101.825
3504107;2021;Atibaia;1.024;987;0;2.011;140.589
3504206;2021;Auriflama;72;58;0;130;14.478
3504305;2021;Avaí;32;31;0;63;5.314
3504404;2021;Avanhandava;65;64;0;129;12.188
3504503;2021;Avaré;567;545;0;1.112;87.854
3504602;2021;Bady Bassitt;172;173;0;345;16.441
3504701;2021;Balbinos;6;10;0;16;3.707
3504800;2021;Bálsamo;44;35;0;79;8.542
3504909;2021;Bananal;44;29;0;73;10.691
3505005;2021;Barão de Antonina;25;22;0;47;3.407
3505104;2021;Barbosa;34;42;0;76;7.345
3505203;2021;Bariri;197;173;0;370;34.180
3505302;2021;Barra Bonita;180;149;0;329;34.864
3505351;2021;Barra do Chapéu;37;40;0;77;5.561
3505401;2021;Barra do Turvo;45;33;0;78;7.709
3505500;2021;Barretos;729;670;0;1.399;118.419
3505609;2021;Barrinha;183;200;0;383;32.658
3505708;2021;Barueri;2.626;2.540;0;5.166;266.236
3505807;2021;Bastos;149;115;0;264;20.296
3505906;2021;Batatais;330;337;0;667;60.502
3506003;2021;Bauru;2.151;2.080;0;4.231;365.523
3506102;2021;Bebedouro;389;392;0;781;73.969
3506201;2021;Bento de Abreu;11;13;0;24;2.966
3506300;2021;Bernardino de Campos;53;52;0;105;10.793
3506359;2021;Bertioga;498;489;0;987;64.526
3506409;2021;Bilac;21;31;0;52;7.855
3506508;2021;Birigui;662;593;0;1.255;122.161
3506607;2021;Biritiba Mirim;181;185;0;366;32.683
3506706;2021;Boa Esperança do Sul;95;75;0;170;14.658
3506805;2021;Bocaina;62;58;0;120;12.243
3506904;2021;Bofete;53;54;0;107;11.194
3507001;2021;Boituva;405;342;0;747;57.987
3507100;2021;Bom Jesus dos Perdões;139;148;0;287;24.625
3507159;2021;Bom Sucesso de Itararé;31;34;0;65;3.894
3507209;2021;Borá;4;4;0;8;811
3507308;2021;Boracéia;35;37;0;72;4.798
3507407;2021;Borborema;67;55;0;122;15.370
3507456;2021;Borebi;18;18;0;36;2.602
3507506;2021;Botucatu;829;781;0;1.610;142.092
3507605;2021;Bragança Paulista;1.034;1.025;0;2.059;165.241
3507704;2021;Braúna;47;28;0;75;5.593
3507753;2021;Brejo Alegre;11;18;0;29;2.780
3507803;2021;Brodowski;158;141;0;299;24.132
3507902;2021;Brotas;145;144;0;289;24.039
3508009;2021;Buri;132;156;0;288;19.819
3508108;2021;Buritama;78;76;0;154;16.673
3508207;2021;Buritizal;26;15;0;41;4.323
3508306;2021;Cabrália Paulista;17;23;0;40;4.306
3508405;2021;Cabreúva;395;333;0;728;50.112
3508504;2021;Caçapava;563;537;0;1.100;91.646
3508603;2021;Cachoeira Paulista;179;176;0;355;32.381
3508702;2021;Caconde;90;91;0;181;18.893
3508801;2021;Cafelândia;105;89;0;194;17.286
3508900;2021;Caiabu;26;20;0;46;4.104
3509007;2021;Caieiras;597;580;0;1.177;101.748
3509106;2021;Caiuá;20;15;0;35;5.642
3509205;2021;Cajamar;696;652;1;1.349;78.786
3509254;2021;Cajati;227;196;0;423;29.116
3509304;2021;Cajobi;55;34;0;89;10.124
3509403;2021;Cajuru;133;156;0;289;25.850
3509452;2021;Campina do Monte Alegre;28;35;0;63;5.832
3509502;2021;Campinas;6.544;6.279;0;12.823;1.181.555
3509601;2021;Campo Limpo Paulista;456;435;0;891;83.530
3509700;2021;Campos do Jordão;302;318;0;620;50.307
3509809;2021;Campos Novos Paulista;32;28;0;60;4.841
3509908;2021;Cananéia;83;73;0;156;12.379
3509957;2021;Canas;41;41;0;82;5.120
3510005;2021;Cândido Mota;178;155;0;333;30.010
3510104;2021;Cândido Rodrigues;12;8;0;20;2.672
3510153;2021;Canitar;46;43;0;89;5.051
3510203;2021;Capão Bonito;316;296;0;612;46.521
3510302;2021;Capela do Alto;158;126;0;284;20.828
3510401;2021;Capivari;305;294;0;599;54.686
3510500;2021;Caraguatatuba;796;794;0;1.590;117.090
3510609;2021;Carapicuíba;2.780;2.720;1;5.501;396.447
3510708;2021;Cardoso;49;37;0;86;11.712
3510807;2021;Casa Branca;123;132;0;255;29.549
3510906;2021;Cássia dos Coqueiros;7;6;0;13;2.486
3511003;2021;Castilho;104;106;0;210;20.937
3511102;2021;Catanduva;623;544;0;1.167;117.414
3511201;2021;Catiguá;30;43;0;73;7.555
3511300;2021;Cedral;71;71;0;142;8.895
3511409;2021;Cerqueira César;137;111;0;248;19.350
3511508;2021;Cerquilho;219;234;0;453;46.932
3511607;2021;Cesário Lange;122;114;0;236;17.360
3511706;2021;Charqueada;100;88;0;188;17.075
3511904;2021;Clementina;40;46;0;86;8.413
3512001;2021;Colina;129;106;0;235;17.606
3512100;2021;Colômbia;49;43;0;92;6.048
3512209;2021;Conchal;193;212;0;405;27.445
3512308;2021;Conchas;103;88;0;191;17.203
3512407;2021;Cordeirópolis;121;150;0;271;24.615
3512506;2021;Coroados;23;17;0;40;5.971
3512605;2021;Coronel Macedo;24;20;0;44;4.839
3512704;2021;Corumbataí;24;16;0;40;3.969
3512803;2021;Cosmópolis;362;300;0;662;72.215
3512902;2021;Cosmorama;26;15;0;41;6.976
3513009;2021;Cotia;1.918;1.883;0;3.801;251.382
3513108;2021;Cravinhos;183;179;0;362;34.637
3513207;2021;Cristais Paulista;67;54;0;121;8.494
3513306;2021;Cruzália;12;10;0;22;2.105
3513405;2021;Cruzeiro;409;455;0;864;80.128
3513504;2021;Cubatão;665;717;0;1.382;130.025
3513603;2021;Cunha;122;108;0;230;21.660
3513702;2021;Descalvado;152;176;0;328;32.516
3513801;2021;Diadema;2.258;2.202;0;4.460;405.596
3513850;2021;Dirce Reis;5;9;0;14;1.715
3513900;2021;Divinolândia;64;42;0;106;10.865
3514007;2021;Dobrada;47;49;0;96;8.985
3514106;2021;Dois Córregos;152;125;0;277;27.151
3514205;2021;Dolcinópolis;17;13;0;30;2.033
3514304;2021;Dourado;39;42;0;81;8.466
3514403;2021;Dracena;221;197;0;418;45.088
3514502;2021;Duartina;70;70;0;140;11.941
3514601;2021;Dumont;55;57;0;112;9.659
3514700;2021;Echaporã;34;31;0;65;6.208
3514809;2021;Eldorado;107;96;0;203;15.331
3514908;2021;Elias Fausto;97;104;0;201;17.459
3514924;2021;Elisiário;10;19;0;29;3.518
3514957;2021;Embaúba;17;7;0;24;2.406
3515004;2021;Embu das Artes;1.748;1.740;0;3.488;273.266
3515103;2021;Embu-Guaçu;431;381;0;812;68.565
3515129;2021;Emilianópolis;8;11;0;19;3.069
3515152;2021;Engenheiro Coelho;154;130;0;284;20.884
3515186;2021;Espírito Santo do Pinhal;193;192;0;385;42.639
3515194;2021;Espírito Santo do Turvo;30;35;0;65;4.850
3515202;2021;Estrela d'Oeste;56;41;0;97;8.083
3515301;2021;Estrela do Norte;12;5;0;17;2.668
3515350;2021;Euclides da Cunha Paulista;43;32;0;75;9.549
3515400;2021;Fartura;112;98;0;210;15.679
3515509;2021;Fernandópolis;391;353;0;744;66.131
3515608;2021;Fernando Prestes;35;24;0;59;5.568
3515657;2021;Fernão;9;11;0;20;1.656
3515707;2021;Ferraz de Vasconcelos;1.234;1.155;0;2.389;195.168
3515806;2021;Flora Rica;4;8;0;12;1.575
3515905;2021;Floreal;9;7;0;16;2.842
3516002;2021;Flórida Paulista;46;47;0;93;12.060
3516101;2021;Florínea;8;15;0;23;2.697
3516200;2021;Franca;2.123;2.070;0;4.193;343.801
3516309;2021;Francisco Morato;1.369;1.285;0;2.654;176.346
3516408;2021;Franco da Rocha;1.011;1.021;0;2.032;153.903
3516507;2021;Gabriel Monteiro;8;14;0;22;2.677
3516606;2021;Gália;30;24;0;54;6.537
3516705;2021;Garça;253;232;0;485;42.385
3516804;2021;Gastão Vidigal;16;15;0;31;4.811
3516853;2021;Gavião Peixoto;36;32;0;68;4.627
3516903;2021;General Salgado;46;49;0;95;10.632
3517000;2021;Getulina;46;38;0;84;10.856
3517109;2021;Glicério;33;19;0;52;4.762
3517208;2021;Guaiçara;63;55;0;118;12.045
3517307;2021;Guaimbê;12;8;0;20;5.547
3517406;2021;Guaíra;204;225;0;429;39.154
3517505;2021;Guapiaçu;137;116;0;253;21.060
3517604;2021;Guapiara;97;110;0;207;17.832
3517703;2021;Guará;94;94;0;188;20.907
3517802;2021;Guaraçaí;32;36;0;68;8.400
3517901;2021;Guaraci;51;53;0;104;11.050
3518008;2021;Guarani d'Oeste;10;7;0;17;1.917
3518107;2021;Guarantã;41;34;0;75;6.485
3518206;2021;Guararapes;161;152;0;313;32.160
3518305;2021;Guararema;205;200;0;405;29.736
3518404;2021;Guaratinguetá;712;650;0;1.362;118.741
3518503;2021;Guareí;66;61;0;127;15.844
3518602;2021;Guariba;197;158;0;355;39.285
3518701;2021;Guarujá;1.902;1.887;0;3.789;318.774
3518800;2021;Guarulhos;9.275;8.860;0;18.135;1.361.862
3518859;2021;Guatapará;37;42;0;79;7.482
3518909;2021;Guzolândia;25;27;0;52;5.134
3519006;2021;Herculândia;56;57;0;113;9.310
3519055;2021;Holambra;93;114;0;207;14.711
3519071;2021;Hortolândia;1.446;1.281;0;2.727;233.548
3519105;2021;Iacanga;69;56;0;125;11.410
3519204;2021;Iacri;28;25;0;53;6.255
3519253;2021;Iaras;30;34;0;64;6.943
3519303;2021;Ibaté;240;220;0;460;35.044
3519402;2021;Ibirá;57;69;0;126;12.132
3519501;2021;Ibirarema;42;31;0;73;7.570
3519600;2021;Ibitinga;383;328;0;711;58.860
3519709;2021;Ibiúna;530;481;0;1.011;76.867
3519808;2021;Icém;44;30;0;74;8.077
3519907;2021;Iepê;35;55;0;90;7.943
3520004;2021;Igaraçu do Tietê;123;120;0;243;24.206
3520103;2021;Igarapava;143;140;0;283;29.560
3520202;2021;Igaratá;80;64;0;144;9.354
3520301;2021;Iguape;151;146;0;297;29.555
3520400;2021;Ilhabela;241;209;0;450;33.821
3520426;2021;Ilha Comprida;56;58;0;114;10.410
3520442;2021;Ilha Solteira;126;117;0;243;25.754
3520509;2021;Indaiatuba;1.556;1.517;0;3.073;245.366
3520608;2021;Indiana;33;22;0;55;4.771
3520707;2021;Indiaporã;17;18;0;35;3.847
3520806;2021;Inúbia Paulista;15;19;0;34;3.913
3520905;2021;Ipaussu;75;78;0;153;14.578
3521002;2021;Iperó;191;158;0;349;34.800
3521101;2021;Ipeúna;43;43;0;86;7.711
3521150;2021;Ipiguá;27;38;0;65;5.286
3521200;2021;Iporanga;29;33;0;62;4.424
3521309;2021;Ipuã;98;86;0;184;16.001
3521408;2021;Iracemápolis;127;112;0;239;23.907
3521507;2021;Irapuã;36;30;0;66;7.767
3521606;2021;Irapuru;32;27;0;59;7.295
3521705;2021;Itaberá;111;116;0;227;17.615
3521804;2021;Itaí;160;125;0;285;26.725
3521903;2021;Itajobi;95;99;0;194;14.602
3522000;2021;Itaju;24;23;0;47;3.688
3522109;2021;Itanhaém;658;606;0;1.264;99.751
3522158;2021;Itaoca;27;19;0;46;3.187
3522208;2021;Itapecerica da Serra;1.139;1.107;0;2.246;171.123
3522307;2021;Itapetininga;965;918;0;1.883;161.509
3522406;2021;Itapeva;636;642;0;1.278;92.123
3522505;2021;Itapevi;1.695;1.644;0;3.339;241.150
3522604;2021;Itapira;347;358;0;705;71.609
3522653;2021;Itapirapuã Paulista;30;31;0;61;4.214
3522703;2021;Itápolis;217;196;0;413;41.648
3522802;2021;Itaporanga;74;75;0;149;14.710
3522901;2021;Itapuí;52;37;0;89;13.913
3523008;2021;Itapura;15;18;0;33;4.965
3523107;2021;Itaquaquecetuba;2.535;2.481;0;5.016;374.997
3523206;2021;Itararé;299;256;0;555;49.149
3523305;2021;Itariri;78;77;0;155;17.442
3523404;2021;Itatiba;699;626;0;1.325;119.084
3523503;2021;Itatinga;128;118;0;246;20.752
3523602;2021;Itirapina;90;75;0;165;17.284
3523701;2021;Itirapuã;43;45;0;88;6.311
3523800;2021;Itobi;42;39;0;81;7.608
3523909;2021;Itu;1.070;1.055;0;2.125;170.938
3524006;2021;Itupeva;419;422;0;841;60.255
3524105;2021;Ituverava;198;189;0;387;40.333
3524204;2021;Jaborandi;28;28;0;56;6.681
3524303;2021;Jaboticabal;355;368;0;723;74.352
3524402;2021;Jacareí;1.341;1.224;0;2.565;229.163
3524501;2021;Jaci;43;41;0;84;7.052
3524600;2021;Jacupiranga;126;99;0;225;17.237
3524709;2021;Jaguariúna;397;315;0;712;55.477
3524808;2021;Jales;246;219;0;465;47.242
3524907;2021;Jambeiro;28;41;0;69;6.272
3525003;2021;Jandira;757;734;0;1.491;124.940
3525102;2021;Jardinópolis;269;259;0;528;43.258
3525201;2021;Jarinu;245;218;0;463;30.330
3525300;2021;Jaú;734;638;0;1.372;148.613
3525409;2021;Jeriquara;35;26;0;61;3.141
3525508;2021;Joanópolis;71;54;0;125;12.720
3525607;2021;João Ramalho;28;21;0;49;4.404
3525706;2021;José Bonifácio;232;215;0;447;36.229
3525805;2021;Júlio Mesquita;31;30;0;61;4.658
3525854;2021;Jumirim;21;19;0;40;3.343
3525904;2021;Jundiaí;2.778;2.701;0;5.479;409.439
3526001;2021;Junqueirópolis;116;79;0;195;20.174
3526100;2021;Juquiá;115;105;0;220;18.856
3526209;2021;Juquitiba;167;182;0;349;30.579
3526308;2021;Lagoinha;29;25;0;54;4.821
3526407;2021;Laranjal Paulista;169;159;0;328;28.042
3526506;2021;Lavínia;15;16;0;31;8.476
3526605;2021;Lavrinhas;48;47;0;95;7.218
3526704;2021;Leme;520;504;0;1.024;101.693
3526803;2021;Lençóis Paulista;427;400;0;827;66.695
3526902;2021;Limeira;1.597;1.575;1;3.173;297.662
3527009;2021;Lindóia;40;47;0;87;7.789
3527108;2021;Lins;392;413;0;805;75.318
3527207;2021;Lorena;560;520;0;1.080;86.952
3527256;2021;Lourdes;6;4;0;10;2.183
3527306;2021;Louveira;383;352;0;735;48.965
3527405;2021;Lucélia;105;75;0;180;21.092
3527504;2021;Lucianópolis;16;11;0;27;2.264
3527603;2021;Luís Antônio;79;89;0;168;14.358
3527702;2021;Luiziânia;45;25;0;70;5.813
3527801;2021;Lupércio;22;23;0;45;4.428
3527900;2021;Lutécia;20;16;0;36;2.615
3528007;2021;Macatuba;108;101;0;209;16.981
3528106;2021;Macaubal;35;30;0;65;7.738
3528205;2021;Macedônia;15;21;0;36;3.562
3528304;2021;Magda;10;9;0;19;3.076
3528403;2021;Mairinque;326;303;0;629;46.569
3528502;2021;Mairiporã;538;500;0;1.038;100.034
3528601;2021;Manduri;54;55;0;109;9.562
3528700;2021;Marabá Paulista;11;23;0;34;4.942
3528809;2021;Maracaí;79;68;0;147;13.526
3528858;2021;Marapoama;14;18;0;32;2.925
3528908;2021;Mariápolis;18;19;0;37;3.979
